[2021-03-14 17:53:43,954] WARNING Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
[2021-03-14 17:53:44,208] INFO Page 255 scraped
[2021-03-14 17:53:45,128] INFO Page 256 scraped
[2021-03-14 17:53:45,206] INFO Page 257 scraped
[2021-03-14 17:53:46,127] INFO Page 258 scraped
[2021-03-14 17:53:48,272] INFO Page 259 scraped
[2021-03-14 17:53:50,304] INFO Page 260 scraped
[2021-03-14 17:53:50,400] INFO Page 261 scraped
[2021-03-14 17:53:52,670] INFO Page 262 scraped
[2021-03-14 17:53:52,730] INFO Page 263 scraped
[2021-03-14 17:53:53,302] INFO Page 264 scraped
[2021-03-14 17:53:53,523] INFO Page 265 scraped
[2021-03-14 17:53:53,598] INFO Page 266 scraped
[2021-03-14 17:53:53,604] INFO Page 267 scraped
[2021-03-14 17:53:54,117] INFO Page 268 scraped
[2021-03-14 17:53:54,353] INFO Page 269 scraped
[2021-03-14 17:53:54,941] INFO Page 270 scraped
[2021-03-14 17:53:55,346] INFO Page 271 scraped
[2021-03-14 17:53:56,579] INFO Page 272 scraped
[2021-03-14 17:53:57,264] INFO Page 273 scraped
[2021-03-14 17:53:57,738] INFO Page 274 scraped
[2021-03-14 17:53:58,395] INFO Page 275 scraped
[2021-03-14 17:53:58,733] INFO Page 276 scraped
[2021-03-14 17:53:58,824] INFO Page 277 scraped
[2021-03-14 17:54:00,877] INFO Page 278 scraped
[2021-03-14 17:54:01,492] INFO Page 279 scraped
[2021-03-14 17:54:02,115] INFO Page 280 scraped
[2021-03-14 17:54:03,743] INFO Page 281 scraped
[2021-03-14 17:54:03,769] INFO Page 282 scraped
[2021-03-14 17:54:03,854] INFO Page 283 scraped
[2021-03-14 17:54:04,315] INFO Page 284 scraped
[2021-03-14 17:54:06,019] INFO Page 285 scraped
[2021-03-14 17:54:07,291] INFO Page 286 scraped
[2021-03-14 17:54:07,376] INFO Page 287 scraped
[2021-03-14 17:54:07,584] INFO Page 288 scraped
[2021-03-14 17:54:07,948] INFO Page 289 scraped
[2021-03-14 17:54:08,140] INFO Page 290 scraped
[2021-03-14 17:54:09,622] INFO Page 291 scraped
[2021-03-14 17:54:09,875] INFO Page 292 scraped
[2021-03-14 17:54:10,238] INFO Page 293 scraped
[2021-03-14 17:54:14,179] INFO Page 294 scraped
[2021-03-14 17:54:18,851] INFO Page 295 scraped
[2021-03-14 17:54:19,277] INFO Page 296 scraped
[2021-03-14 17:54:20,073] INFO Page 297 scraped
[2021-03-14 17:54:32,078] INFO Page 298 scraped
[2021-03-14 17:54:35,930] INFO Page 299 scraped
[2021-03-14 17:54:41,746] INFO Page 300 scraped
[2021-03-14 17:54:55,029] INFO Page 301 scraped
[2021-03-14 17:55:01,031] INFO Scraping finished.
[2021-03-14 17:55:01,031] INFO Generating CSV file...
[2021-03-14 17:55:01,420] INFO CSV File is generated.
